title,src,href
BLACKPINK - ‘Pink Venom’ DANCE PRACTICE VIDEO,https://i.ytimg.com/vi/RFMi3v0TXP8/hqdefault.jpg,https://www.youtube.com/watch?v=RFMi3v0TXP8
BLACKPINK - ‘Shut Down’ DANCE PERFORMANCE VIDEO,https://i.ytimg.com/vi/PjrAwC4TIPA/hqdefault.jpg,https://www.youtube.com/watch?v=PjrAwC4TIPA
ROSÉ - 'On The Ground' Dance Performance,https://i.ytimg.com/vi/z6CSW2yu8Mg/hqdefault.jpg,https://www.youtube.com/watch?v=z6CSW2yu8Mg
LISA - 'LALISA' DANCE PRACTICE VIDEO,https://i.ytimg.com/vi/ZJ6QQLDIzrI/hqdefault.jpg,https://www.youtube.com/watch?v=ZJ6QQLDIzrI
BLACKPINK - 'Lovesick Girls' DANCE PRACTICE VIDEO,https://i.ytimg.com/vi/YxksUfnuEbI/hqdefault.jpg,https://www.youtube.com/watch?v=YxksUfnuEbI
BLACKPINK - '뚜두뚜두 (DDU-DU DDU-DU)' DANCE PRACTICE VIDEO (MOVING VER.),https://i.ytimg.com/vi/jOJbXvjZ-cQ/hqdefault.jpg,https://www.youtube.com/watch?v=jOJbXvjZ-cQ
BLACKPINK - 'Kill This Love' DANCE PRACTICE VIDEO (MOVING VER.),https://i.ytimg.com/vi/MOwaUlXZxkI/hqdefault.jpg,https://www.youtube.com/watch?v=MOwaUlXZxkI
LISA - 'MONEY' DANCE PRACTICE VIDEO,https://i.ytimg.com/vi/fr-eHz87XoM/hqdefault.jpg,https://www.youtube.com/watch?v=fr-eHz87XoM
BLACKPINK - '붐바야(BOOMBAYAH)' DANCE PRACTICE VIDEO,https://i.ytimg.com/vi/ivoS3HUJB3Q/hqdefault.jpg,https://www.youtube.com/watch?v=ivoS3HUJB3Q
BLACKPINK - 'Forever Young' DANCE PRACTICE VIDEO (MOVING VER.),https://i.ytimg.com/vi/89kTb73csYg/hqdefault.jpg,https://www.youtube.com/watch?v=89kTb73csYg
JENNIE - 'SOLO' CHOREOGRAPHY UNEDITED VERSION,https://i.ytimg.com/vi/vdDuCvCrcKg/hqdefault.jpg,https://www.youtube.com/watch?v=vdDuCvCrcKg
BLACKPINK - ‘불장난(PLAYING WITH FIRE)’ DANCE PRACTICE VIDEO,https://i.ytimg.com/vi/NvWfJTbrTBY/hqdefault.jpg,https://www.youtube.com/watch?v=NvWfJTbrTBY
BLACKPINK - 'Don't Know What To Do' DANCE PRACTICE VIDEO (MOVING VER.),https://i.ytimg.com/vi/bqzDuRz_P7g/hqdefault.jpg,https://www.youtube.com/watch?v=bqzDuRz_P7g
