title,src,href
IVE 아이브 'After LIKE' DANCE PRACTICE,https://i.ytimg.com/vi/J98RARuY_wU/hqdefault.jpg,https://www.youtube.com/watch?v=J98RARuY_wU
IVE 아이브 'LOVE DIVE' DANCE PRACTICE,https://i.ytimg.com/vi/Bo2aD_I7-1U/hqdefault.jpg,https://www.youtube.com/watch?v=Bo2aD_I7-1U
IVE 아이브 'ELEVEN' DANCE PRACTICE (Fix ver.),https://i.ytimg.com/vi/EzyWv-eiABA/hqdefault.jpg,https://www.youtube.com/watch?v=EzyWv-eiABA
IVE 'ELEVEN' (Amazon Music Original Performance Video),https://i.ytimg.com/vi/OurWoiIWEr8/hqdefault.jpg,https://www.youtube.com/watch?v=OurWoiIWEr8
IVE 아이브 'ELEVEN' 2021 KBS 가요대축제 DANCE PRACTICE,https://i.ytimg.com/vi/esIn1D1qN_Q/hqdefault.jpg,https://www.youtube.com/watch?v=esIn1D1qN_Q
 'After LIKE' DANCE PRACTICE BEHIND,https://i.ytimg.com/vi/dy7z6rLv1v4/hqdefault.jpg,https://www.youtube.com/watch?v=dy7z6rLv1v4
IVE 아이브 'ELEVEN' 2021 Christmas ver.,https://i.ytimg.com/vi/bF_9HVPESJc/hqdefault.jpg,https://www.youtube.com/watch?v=bF_9HVPESJc
"1,2,3 IVE EP.1",https://i.ytimg.com/vi/qNQvMrGf96w/hqdefault.jpg,https://www.youtube.com/watch?v=qNQvMrGf96w
 'LOVE DIVE' DANCE PRACTICE BEHIND,https://i.ytimg.com/vi/JICPGlEkD4A/hqdefault.jpg,https://www.youtube.com/watch?v=JICPGlEkD4A
IVE 아이브 'After LIKE' (OUT NOW ver.),https://i.ytimg.com/vi/Zn_jDmVZ4uw/hqdefault.jpg,https://www.youtube.com/watch?v=Zn_jDmVZ4uw
 IVE 'After LIKE' Recording BEHIND,https://i.ytimg.com/vi/ISYUgT6Kh58/hqdefault.jpg,https://www.youtube.com/watch?v=ISYUgT6Kh58
"1,2,3 IVE EP.4",https://i.ytimg.com/vi/9WXvQE2xTbQ/hqdefault.jpg,https://www.youtube.com/watch?v=9WXvQE2xTbQ
"1,2,3 IVE EP.7",https://i.ytimg.com/vi/GCI4SfezjH4/hqdefault.jpg,https://www.youtube.com/watch?v=GCI4SfezjH4
 IVE 'After LIKE' MV Behind The Scenes,https://i.ytimg.com/vi/hoB5gYnibtw/hqdefault.jpg,https://www.youtube.com/watch?v=hoB5gYnibtw
 IVE 'ELEVEN' MV Behind The Scenes #1,https://i.ytimg.com/vi/ESKvYlAOdIk/hqdefault.jpg,https://www.youtube.com/watch?v=ESKvYlAOdIk
 'LOVE DIVE' Recording BEHIND,https://i.ytimg.com/vi/b80m3iTEgSk/hqdefault.jpg,https://www.youtube.com/watch?v=b80m3iTEgSk
IVE 아이브 MV 'After LIKE' - Behind The Scenes,https://i.ytimg.com/vi/aGuFIgWfVJ8/hqdefault.jpg,https://www.youtube.com/watch?v=aGuFIgWfVJ8
IVE 아이브 MV 'LOVE DIVE' - Behind The Scenes,https://i.ytimg.com/vi/ztIEUi88mu0/hqdefault.jpg,https://www.youtube.com/watch?v=ztIEUi88mu0
SHOW WHAT I HAVE - IVE GAEUL,https://i.ytimg.com/vi/intGNHOoHHA/hqdefault.jpg,https://www.youtube.com/watch?v=intGNHOoHHA
“DEAR. CUPID” (LOVE DIVE PROMOTION VIDEO),https://i.ytimg.com/vi/x_CQ36iwRrs/hqdefault.jpg,https://www.youtube.com/watch?v=x_CQ36iwRrs
SHOW WHAT I HAVE - IVE LEESEO,https://i.ytimg.com/vi/o2Z4C6r2IbQ/hqdefault.jpg,https://www.youtube.com/watch?v=o2Z4C6r2IbQ
"1,2,3 IVE EP.8",https://i.ytimg.com/vi/HzewrOiRIpw/hqdefault.jpg,https://www.youtube.com/watch?v=HzewrOiRIpw
IVE 아이브 'After LIKE' MV Reaction,https://i.ytimg.com/vi/JUlHKeOgpNs/hqdefault.jpg,https://www.youtube.com/watch?v=JUlHKeOgpNs
"1,2,3 IVE EP.5",https://i.ytimg.com/vi/1R9Qf-QFH2s/hqdefault.jpg,https://www.youtube.com/watch?v=1R9Qf-QFH2s
After LIKE,https://i.ytimg.com/vi/CVxTT38_J4c/hqdefault.jpg,https://www.youtube.com/watch?v=CVxTT38_J4c
LOVE DIVE,https://i.ytimg.com/vi/l-jZOXa7gQY/hqdefault.jpg,https://www.youtube.com/watch?v=l-jZOXa7gQY
IVE 아이브 'ELEVEN' MV EXTRA CUT,https://i.ytimg.com/vi/92GyDTd3AZk/hqdefault.jpg,https://www.youtube.com/watch?v=92GyDTd3AZk
 'LOVE DIVE' SHOWCASE BEHIND,https://i.ytimg.com/vi/6GW20v8Q1oQ/hqdefault.jpg,https://www.youtube.com/watch?v=6GW20v8Q1oQ
 IVE 'LOVE DIVE' MV Behind The Scenes,https://i.ytimg.com/vi/FbFGgsOuRN0/hqdefault.jpg,https://www.youtube.com/watch?v=FbFGgsOuRN0
릴레이로 LOVE DIVE 🌊💘 #Shorts,https://i.ytimg.com/vi/jhcMdQq9o-Y/hqdefault.jpg,https://www.youtube.com/watch?v=jhcMdQq9o-Y
릴레이로 LOVE DIVE 🌊💘 #Shorts,https://i.ytimg.com/vi/jhcMdQq9o-Y/hqdefault.jpg,https://www.youtube.com/watch?v=jhcMdQq9o-Y
"1,2,3 IVE EP.2",https://i.ytimg.com/vi/XyMkNdIe-5I/hqdefault.jpg,https://www.youtube.com/watch?v=XyMkNdIe-5I
